doi,issue,journal.id,journal.title,title,type,volume,year,open_access_types
10.1002/ece3.5885,,jour.1045551,Ecology and Evolution,Dynamic response in the larval geoduck (Panopea generosa) proteome to elevated pCO2,article,,2019,Bronze
10.3389/fmars.2019.00702,,jour.1050424,Frontiers in Marine Science,"Ocean Circulation Over North Atlantic Underwater Features in the Path of the Mediterranean Outflow Water: The Ormonde and Formigas Seamounts, and the Gazul Mud Volcano",article,6,2019,Bronze
10.3390/d11120232,12,jour.1042582,Diversity,"Argulus from the Pascagoula River, MS, USA, with an Emphasis on Those of the Threatened Gulf Sturgeon, Acipenser oxyrinchus desotoi",article,11,2019,Bronze
10.1002/ece3.5820,,jour.1045551,Ecology and Evolution,Invasive Phragmites australis management outcomes and native plant recovery are context dependent,article,,2019,Bronze
10.3389/fmicb.2019.02797,,jour.1044458,Frontiers in Microbiology,Associations of Environmental Conditions and Vibrio parahaemolyticus Genetic Markers in Washington State Pacific Oysters,article,10,2019,Bronze
10.3390/rs11232872,23,jour.1049580,Remote Sensing,Deriving the Reservoir Conditions for Better Water Resource Management Using Satellite-Based Earth Observations in the Lower Mekong River Basin,article,11,2019,Bronze
10.1093/icesjms/fsz033,6,jour.1037530,ICES Journal of Marine Science,Statistical modelling for exploring diel vertical movements and spatial correlations of marine fish species: a supplementary tool to assess species interactions,article,76,2019,Bronze
10.1093/icesjms/fsz059,6,jour.1037530,ICES Journal of Marine Science,Overcoming long Bayesian run times in integrated fisheries stock assessments,article,76,2019,Bronze
10.1093/icesjms/fsz040,6,jour.1037530,ICES Journal of Marine Science,Amplifier linearity accounts for discrepancies in echo-integration measurements from two widely used echosounders,article,76,2019,Bronze
10.1093/icesjms/fsz072,6,jour.1037530,ICES Journal of Marine Science,A general theory of age-length keys: combining the forward and inverse keys to estimate age composition from incomplete data,article,76,2019,Hybrid
10.1038/s41598-019-41682-4,1,jour.1045337,Scientific Reports,Warm hole in Pacific Arctic sea ice cover forced mid-latitude Northern Hemisphere cooling during winter 2017–18,article,9,2019,Pure Gold
10.1016/j.renene.2019.04.135,,jour.1048491,Renewable Energy,Seasonal forecasts of wind power generation,article,143,2019,Hybrid
10.1016/j.spasta.2017.11.004,,jour.1048716,Spatial Statistics,Visualization and assessment of spatio-temporal covariance properties,article,34,2019,"Green, Submitted"
10.1038/s41598-018-36723-3,1,jour.1045337,Scientific Reports,Temporal and demographic variation in partial migration of the North Atlantic right whale,article,9,2019,Pure Gold
10.1038/s41598-019-46947-6,1,jour.1045337,Scientific Reports,Uncovering mechanisms of global ocean change effects on the Dungeness crab (Cancer magister) through metabolomics analysis,article,9,2019,Pure Gold
10.1038/s41467-018-08066-0,1,jour.1043282,Nature Communications,A recent increase in global wave power as a consequence of oceanic warming,article,10,2019,Pure Gold
10.1038/s41598-019-40332-z,1,jour.1045337,Scientific Reports,On the processes influencing rapid intensity changes of tropical cyclones over the Bay of Bengal,article,9,2019,Pure Gold
10.1038/s41598-019-42095-z,1,jour.1045337,Scientific Reports,Lipid normalization and stable isotope discrimination in Pacific walrus tissues,article,9,2019,Pure Gold
10.1038/s41467-019-10876-9,1,jour.1043282,Nature Communications,The cascade of global trade to large climate forcing over the Tibetan Plateau glaciers,article,10,2019,Pure Gold
10.1038/s41598-019-54453-y,1,jour.1045337,Scientific Reports,Measurement of Cyanobacterial Bloom Magnitude using Satellite Remote Sensing,article,9,2019,Bronze
10.1038/s41598-019-49281-z,1,jour.1045337,Scientific Reports,Improving seasonal forecasts of air temperature using a genetic algorithm,article,9,2019,Bronze
10.1038/s41467-019-09468-4,1,jour.1043282,Nature Communications,Prominence of the tropics in the recent rise of global nitrogen pollution,article,10,2019,Pure Gold
10.1126/sciadv.aaw9883,12,jour.1051517,Science Advances,The polar regions in a 2°C warmer world,article,5,2019,Bronze
10.1038/s41598-019-55039-4,1,jour.1045337,Scientific Reports,"Surface ocean pH and buffer capacity: past, present and future",article,9,2019,Bronze
10.1038/s41598-019-43036-6,1,jour.1045337,Scientific Reports,"Long-term trends, current status, and transitions of water quality in Chesapeake Bay",article,9,2019,Pure Gold
10.1038/s41598-019-49965-6,1,jour.1045337,Scientific Reports,Subsurface ocean flywheel of coupled climate variability in the Barents Sea hotspot of global warming,article,9,2019,Bronze
10.1038/s41598-019-50942-2,1,jour.1045337,Scientific Reports,Hidden Markov models reveal temporal patterns and sex differences in killer whale behavior,article,9,2019,Bronze
10.1038/s41598-019-48011-9,1,jour.1045337,Scientific Reports,Resilience of the Gulf Stream path on decadal and longer timescales,article,9,2019,Bronze
10.1038/s41598-019-47400-4,1,jour.1045337,Scientific Reports,Predictability of US West Coast Ocean Temperatures is not solely due to ENSO,article,9,2019,Bronze
10.1111/jfr3.12491,4,jour.1045084,Journal of Flood Risk Management,Quantifying damage contributions from convective and stratiform weather types: How well do precipitation and discharge data indicate the risk?,article,12,2019,Hybrid
10.1038/s41598-019-38562-2,1,jour.1045337,Scientific Reports,Ocean variability and air-sea fluxes produced by atmospheric rivers,article,9,2019,Pure Gold
10.1007/s00382-018-4203-6,12,jour.1049631,Climate Dynamics,Indian summer monsoon variability forecasts in the North American multimodel ensemble,article,53,2019,Hybrid
10.1038/s41598-019-40784-3,1,jour.1045337,Scientific Reports,Widespread shifts in the coastal biota of northern California during the 2014–2016 marine heatwaves,article,9,2019,Pure Gold
10.1038/s41598-019-44516-5,1,jour.1045337,Scientific Reports,Elemental and Mineralogical Composition of the Western Andean Snow (18°S–41°S),article,9,2019,Pure Gold
